Code	Name Zone									UTC

ACDT 	Australian Central Daylight Time 			+10:30
ACST 	Australian Central Standard Time 			+09:30
ACT 	ASEAN Common Time 							+08
ADT 	Atlantic Daylight Time 						-03
AEDT 	Australian Eastern Daylight Time 			+11
AEST 	Australian Eastern Standard Time 			+10
AFT 	Afghanistan Time 							+04.30
AKDT 	Alaska Daylight Time 						-08
AKST 	Alaska Standard Time 						-09
AMST 	Amazon Summer Time (Brazil)[1] 				-03
AMST 	Armenia Summer Time 						+05
AMT 	Amazon Time (Brazil)[2] 					-04
AMT 	Armenia Time 								+04
ART 	Argentina Time 								-03
AST 	Arabia Standard Time 						+03
AST 	Atlantic Standard Time 						-04
AWDT 	Australian Western Daylight Time 			+09
AWST 	Australian Western Standard Time 			+08
AZOST 	Azores Standard Time 						-01
AZT 	Azerbaijan Time 							+04
BDT 	Brunei Time 								+08
BIOT 	British Indian Ocean Time 					+06
BIT 	Baker Island Time 							-12
BOT 	Bolivia Time 								-04
BRT 	Brasilia Time 								-03
BST 	Bangladesh Standard Time 					+06
BTT 	Bhutan Time 								+06
CAT 	Central Africa Time 						+02
CCT 	Cocos Islands Time 							+06.30
CDT 	Central Daylight Time (North America) 		-05
CDT 	Cuba Daylight Time[3] 						-04
CEDT 	Central European Daylight Time 				+02
CEST 	Central European Summer Time (Cf. HAEC) 	+02
CET 	Central European Time 						+01
CHADT 	Chatham Daylight Time 						+13.45
CHAST 	Chatham Standard Time 						+12.45
CHOT 	Choibalsan 									+08
ChST 	Chamorro Standard Time 						+10
CHUT 	Chuuk Time 									+10
CIST 	Clipperton Island Standard Time 			-08
CIT 	Central Indonesia Time 						+08
CKT 	Cook Island Time 							-10
CLST 	Chile Summer Time 							-03
CLT 	Chile Standard Time 						-04
COST 	Colombia Summer Time 						-04
COT 	Colombia Time 								-05
CST 	Central Standard Time (North America) 		-06
CST 	China Standard Time 						+08
CST 	Central Standard Time (Australia) 			+09.30
CST 	Central Summer Time (Australia) 			+10.30
CST 	Cuba Standard Time 							-05
CT 		China time 									+08
CVT 	Cape Verde Time 							-01
CWST 	Central Western Standard Time (Australia) 	+08.45
CXT 	Christmas Island Time 						+07
DAVT 	Davis Time 									+07
DDUT 	Dumont d'Urville Time 						+10
DFT 	AIX equivalent of Central European Time[4] 	+01
EASST 	Easter Island Standard Summer Time			-05
EAST 	Easter Island Standard Time					-06
EAT 	East Africa Time							+03
ECT 	Eastern Caribbean Time						-04
ECT 	Ecuador Time 								-05
EDT 	Eastern Daylight Time (North America) 		-04
EEDT 	Eastern European Daylight Time 				+03
EEST 	Eastern European Summer Time 				+03
EET 	Eastern European Time 						+02
EGST 	Eastern Greenland Summer Time 				+00
EGT 	Eastern Greenland Time 						-01
EIT 	Eastern Indonesian Time 					+09
EST 	Eastern Standard Time (North America) 		-05
EST 	Eastern Standard Time (Australia) 			+10
FET 	Further-eastern European Time 				+03
FJT 	Fiji Time 									+12
FKST 	Falkland Islands Standard Time 				-03
FKST 	Falkland Islands Summer Time 				-03
FKT 	Falkland Islands Time 						-04
FNT 	Fernando de Noronha Time 					-02
